count,end_date,name,start_date
69,2018-05-07,Lake Street Dive,2018-04-30
42,2018-05-07,The Districts,2018-04-30
25,2018-05-07,Lawrence,2018-04-30
20,2018-05-07,Shakey Graves,2018-04-30
14,2018-05-07,The Rubens,2018-04-30
11,2018-05-07,The Brook &amp; The Bluff,2018-04-30
9,2018-05-07,Leon Bridges,2018-04-30
7,2018-05-07,Matt &amp; Kim,2018-04-30
6,2018-05-07,Cold War Kids,2018-04-30
6,2018-05-07,NEEDTOBREATHE,2018-04-30
5,2018-05-07,Dan Auerbach,2018-04-30
4,2018-05-07,Gregory Alan Isakov,2018-04-30
4,2018-05-07,Wild Child,2018-04-30
3,2018-05-07,Andrew Applepie,2018-04-30
3,2018-05-07,Rhye,2018-04-30
3,2018-05-07,You Won't,2018-04-30
2,2018-05-07,alt-J,2018-04-30
2,2018-05-07,Awolnation,2018-04-30
2,2018-05-07,Band of Horses,2018-04-30
2,2018-05-07,Ben Howard,2018-04-30
2,2018-05-07,Bon Iver,2018-04-30
2,2018-05-07,Foster the People,2018-04-30
2,2018-05-07,Heartless Bastards,2018-04-30
2,2018-05-07,Houndmouth,2018-04-30
2,2018-05-07,Jr Jr,2018-04-30
45,2018-04-30,The Rubens,2018-04-23
32,2018-04-30,Cold War Kids,2018-04-23
18,2018-04-30,Smokey Robinson and The Miracles,2018-04-23
12,2018-04-30,Lake Street Dive,2018-04-23
12,2018-04-30,NEEDTOBREATHE,2018-04-23
9,2018-04-30,The Miracles,2018-04-23
7,2018-04-30,J. Cole,2018-04-23
7,2018-04-30,Jr Jr,2018-04-23
7,2018-04-30,Logic,2018-04-23
7,2018-04-30,Matt &amp; Kim,2018-04-23
5,2018-04-30,Dan Auerbach,2018-04-23
5,2018-04-30,St. Paul &amp; The Broken Bones,2018-04-23
5,2018-04-30,The Brook &amp; The Bluff,2018-04-23
5,2018-04-30,The Lumineers,2018-04-23
4,2018-04-30,Andrew Applepie,2018-04-23
4,2018-04-30,Charles Bradley,2018-04-23
4,2018-04-30,Ms. Lauryn Hill,2018-04-23
4,2018-04-30,Mumford &amp; Sons,2018-04-23
4,2018-04-30,Wild Child,2018-04-23
4,2018-04-30,You Won't,2018-04-23
4,2018-04-30,sean mcswiggan,2018-04-23
3,2018-04-30,alt-J,2018-04-23
3,2018-04-30,Gregory Alan Isakov,2018-04-23
3,2018-04-30,Greyhounds,2018-04-23
3,2018-04-30,Heartless Bastards,2018-04-23
44,2018-04-23,You Won't,2018-04-16
36,2018-04-23,The Rubens,2018-04-16
28,2018-04-23,The Brook &amp; The Bluff,2018-04-16
24,2018-04-23,Cold War Kids,2018-04-16
18,2018-04-23,Smokey Robinson and The Miracles,2018-04-16
12,2018-04-23,Ms. Lauryn Hill,2018-04-16
11,2018-04-23,Dan Auerbach,2018-04-16
9,2018-04-23,The Miracles,2018-04-16
8,2018-04-23,Andrew Applepie,2018-04-16
7,2018-04-23,NEEDTOBREATHE,2018-04-16
5,2018-04-23,Lake Street Dive,2018-04-16
5,2018-04-23,Mumford &amp; Sons,2018-04-16
5,2018-04-23,The Dig,2018-04-16
5,2018-04-23,The Weepies,2018-04-16
4,2018-04-23,Band of Horses,2018-04-16
4,2018-04-23,Ben Folds,2018-04-16
4,2018-04-23,Hiss Golden Messenger,2018-04-16
4,2018-04-23,Otis Redding,2018-04-16
4,2018-04-23,The Lumineers,2018-04-16
4,2018-04-23,The Paper Kites,2018-04-16
4,2018-04-23,Wild Child,2018-04-16
4,2018-04-23,Wye Oak,2018-04-16
3,2018-04-23,Amos Lee,2018-04-16
3,2018-04-23,Bad Bad Hats,2018-04-16
3,2018-04-23,Kings of Leon,2018-04-16
8,2018-04-16,Lake Street Dive,2018-04-09
8,2018-04-16,NEEDTOBREATHE,2018-04-09
6,2018-04-16,The Districts,2018-04-09
6,2018-04-16,Wild Child,2018-04-09
5,2018-04-16,Otis Redding,2018-04-09
5,2018-04-16,You Won't,2018-04-09
4,2018-04-16,Cold War Kids,2018-04-09
4,2018-04-16,Future Islands,2018-04-09
4,2018-04-16,Wye Oak,2018-04-09
3,2018-04-16,Gregory Alan Isakov,2018-04-09
3,2018-04-16,Keaton Henson,2018-04-09
3,2018-04-16,Logic,2018-04-09
3,2018-04-16,Lucy Dacus,2018-04-09
3,2018-04-16,The Dig,2018-04-09
3,2018-04-16,The Dip,2018-04-09
3,2018-04-16,The Fray,2018-04-09
3,2018-04-16,The Lumineers,2018-04-09
2,2018-04-16,Ben Folds,2018-04-09
2,2018-04-16,Chance the Rapper,2018-04-09
2,2018-04-16,Dan Auerbach,2018-04-09
2,2018-04-16,Dark Dark Dark,2018-04-09
2,2018-04-16,Foster the People,2018-04-09
2,2018-04-16,Hiss Golden Messenger,2018-04-09
2,2018-04-16,J. Cole,2018-04-09
2,2018-04-16,John Legend,2018-04-09
33,2018-04-09,Próxima Parada,2018-04-02
27,2018-04-09,Lake Street Dive,2018-04-02
19,2018-04-09,NEEDTOBREATHE,2018-04-02
12,2018-04-09,Wye Oak,2018-04-02
9,2018-04-09,Young Fathers,2018-04-02
8,2018-04-09,Otis Redding,2018-04-02
7,2018-04-09,Cold War Kids,2018-04-02
7,2018-04-09,Gregory Alan Isakov,2018-04-02
7,2018-04-09,Wild Child,2018-04-02
6,2018-04-09,Shakey Graves,2018-04-02
6,2018-04-09,The Shins,2018-04-02
5,2018-04-09,Alabama Shakes,2018-04-02
5,2018-04-09,Dan Auerbach,2018-04-02
5,2018-04-09,The Black Keys,2018-04-02
5,2018-04-09,The Dip,2018-04-02
5,2018-04-09,The Lumineers,2018-04-02
5,2018-04-09,You Won't,2018-04-02
4,2018-04-09,Jaws of Love.,2018-04-02
4,2018-04-09,Rainbow Kitten Surprise,2018-04-02
4,2018-04-09,The Dig,2018-04-02
4,2018-04-09,The Fray,2018-04-02
4,2018-04-09,Tom Odell,2018-04-02
4,2018-04-09,G Flip,2018-04-02
3,2018-04-09,Ben Folds,2018-04-02
3,2018-04-09,Chance the Rapper,2018-04-02
26,2018-04-02,Dan Auerbach,2018-03-26
21,2018-04-02,NEEDTOBREATHE,2018-03-26
17,2018-04-02,Frankie Cosmos,2018-03-26
15,2018-04-02,Mt. Joy,2018-03-26
13,2018-04-02,Lake Street Dive,2018-03-26
11,2018-04-02,Yellow Days,2018-03-26
9,2018-04-02,Alabama Shakes,2018-03-26
9,2018-04-02,Erika Wennerstrom,2018-03-26
9,2018-04-02,You Won't,2018-03-26
8,2018-04-02,Moby,2018-03-26
8,2018-04-02,Otis Redding,2018-03-26
8,2018-04-02,Wild Child,2018-03-26
7,2018-04-02,The Lumineers,2018-03-26
6,2018-04-02,Cold War Kids,2018-03-26
6,2018-04-02,Gregory Alan Isakov,2018-03-26
6,2018-04-02,Kings of Leon,2018-03-26
5,2018-04-02,Future Islands,2018-03-26
5,2018-04-02,Shakey Graves,2018-03-26
5,2018-04-02,St. Paul &amp; The Broken Bones,2018-03-26
5,2018-04-02,The Black Keys,2018-03-26
5,2018-04-02,G Flip,2018-03-26
4,2018-04-02,Anderson East,2018-03-26
4,2018-04-02,Awolnation,2018-03-26
4,2018-04-02,Ben Folds,2018-03-26
4,2018-04-02,Jesse Dee,2018-03-26
21,2018-03-26,G Flip,2018-03-19
19,2018-03-26,Yo La Tengo,2018-03-19
16,2018-03-26,Lake Street Dive,2018-03-19
14,2018-03-26,NEEDTOBREATHE,2018-03-19
13,2018-03-26,St. Paul &amp; The Broken Bones,2018-03-19
11,2018-03-26,Dan Auerbach,2018-03-19
11,2018-03-26,Mt. Joy,2018-03-19
10,2018-03-26,Calum Scott,2018-03-19
10,2018-03-26,Gregory Alan Isakov,2018-03-19
10,2018-03-26,Yellow Days,2018-03-19
9,2018-03-26,Shannon and the Clams,2018-03-19
8,2018-03-26,Leon Bridges,2018-03-19
8,2018-03-26,Lucy Dacus,2018-03-19
6,2018-03-26,Júníus Meyvant,2018-03-19
6,2018-03-26,Otis Redding,2018-03-19
5,2018-03-26,Frank Ocean,2018-03-19
5,2018-03-26,Jack Johnson,2018-03-19
5,2018-03-26,Wild Child,2018-03-19
5,2018-03-26,Youth Lagoon,2018-03-19
4,2018-03-26,Awolnation,2018-03-19
4,2018-03-26,Durand Jones &amp; The Indications,2018-03-19
4,2018-03-26,Jacob Banks,2018-03-19
4,2018-03-26,The Cinematic Orchestra,2018-03-19
4,2018-03-26,The Districts,2018-03-19
3,2018-03-26,Active Child,2018-03-19
42,2018-03-19,Shannon and the Clams,2018-03-12
16,2018-03-19,NEEDTOBREATHE,2018-03-12
15,2018-03-19,Gregory Alan Isakov,2018-03-12
12,2018-03-19,Otis Redding,2018-03-12
11,2018-03-19,Logic,2018-03-12
8,2018-03-19,Lake Street Dive,2018-03-12
8,2018-03-19,Leon Bridges,2018-03-12
8,2018-03-19,Wild Child,2018-03-12
7,2018-03-19,Mt. Joy,2018-03-12
6,2018-03-19,Lucy Dacus,2018-03-12
6,2018-03-19,You Won't,2018-03-12
4,2018-03-19,alt-J,2018-03-12
4,2018-03-19,Future Islands,2018-03-12
4,2018-03-19,Hozier,2018-03-12
4,2018-03-19,Jack Johnson,2018-03-12
4,2018-03-19,Kings of Leon,2018-03-12
4,2018-03-19,St. Paul &amp; The Broken Bones,2018-03-12
4,2018-03-19,The Dip,2018-03-12
4,2018-03-19,The Lumineers,2018-03-12
3,2018-03-19,Mumford &amp; Sons,2018-03-12
3,2018-03-19,Rhye,2018-03-12
3,2018-03-19,The Black Keys,2018-03-12
3,2018-03-19,The Franklin Electric,2018-03-12
3,2018-03-19,The National,2018-03-12
3,2018-03-19,Various Cruelties,2018-03-12
52,2018-03-12,Shannon and the Clams,2018-03-05
25,2018-03-12,Youth Lagoon,2018-03-05
19,2018-03-12,NEEDTOBREATHE,2018-03-05
9,2018-03-12,Frank Ocean,2018-03-05
9,2018-03-12,Lake Street Dive,2018-03-05
8,2018-03-12,Otis Redding,2018-03-05
8,2018-03-12,The Lumineers,2018-03-05
7,2018-03-12,Lucy Dacus,2018-03-05
6,2018-03-12,St. Paul &amp; The Broken Bones,2018-03-05
5,2018-03-12,Active Child,2018-03-05
5,2018-03-12,Mt. Joy,2018-03-05
5,2018-03-12,Rhye,2018-03-05
5,2018-03-12,The Dig,2018-03-05
5,2018-03-12,Tom Brosseau,2018-03-05
5,2018-03-12,Wild Child,2018-03-05
5,2018-03-12,You Won't,2018-03-05
4,2018-03-12,Anderson East,2018-03-05
4,2018-03-12,Cold War Kids,2018-03-05
4,2018-03-12,The Districts,2018-03-05
3,2018-03-12,AHI,2018-03-05
3,2018-03-12,Alabama Shakes,2018-03-05
3,2018-03-12,alt-J,2018-03-05
3,2018-03-12,Chance the Rapper,2018-03-05
3,2018-03-12,Coldplay,2018-03-05
3,2018-03-12,Gary Clark Jr.,2018-03-05
19,2018-03-05,Frank Ocean,2018-02-26
19,2018-03-05,Lake Street Dive,2018-02-26
17,2018-03-05,NEEDTOBREATHE,2018-02-26
15,2018-03-05,Lucy Dacus,2018-02-26
14,2018-03-05,Youth Lagoon,2018-02-26
8,2018-03-05,Active Child,2018-02-26
7,2018-03-05,Gregory Alan Isakov,2018-02-26
6,2018-03-05,Otis Redding,2018-02-26
6,2018-03-05,Rhye,2018-02-26
6,2018-03-05,The Dig,2018-02-26
6,2018-03-05,The Lumineers,2018-02-26
6,2018-03-05,Wild Child,2018-02-26
5,2018-03-05,Bad Bad Hats,2018-02-26
5,2018-03-05,Chance the Rapper,2018-02-26
5,2018-03-05,Jacob Banks,2018-02-26
4,2018-03-05,Awolnation,2018-02-26
4,2018-03-05,Cold War Kids,2018-02-26
4,2018-03-05,Kings of Leon,2018-02-26
4,2018-03-05,The Districts,2018-02-26
3,2018-03-05,Coldplay,2018-02-26
3,2018-03-05,Dan Auerbach,2018-02-26
3,2018-03-05,Future Islands,2018-02-26
3,2018-03-05,Justin Timberlake,2018-02-26
3,2018-03-05,Logic,2018-02-26
3,2018-03-05,Matt &amp; Kim,2018-02-26
10,2018-02-26,Otis Redding,2018-02-19
